ds,yhat,yhat_lower,yhat_upper
2026-08-21 07:00:00,28.151809088208363,26.21976022880959,30.04695378538615
2026-08-21 08:00:00,28.378279145897945,26.42834960041412,30.30930947189624
2026-08-21 09:00:00,28.583251088993677,26.63010606453655,30.38545636357686
2026-08-21 10:00:00,29.27178554963227,27.2654717813094,31.156928032194738
2026-08-21 11:00:00,30.52587832786543,28.56150494774734,32.35096559982678
2026-08-21 12:00:00,31.855568664167563,29.81258788394066,33.803425070822094
2026-08-21 13:00:00,32.52481270500295,30.612636795523116,34.462789257416226
2026-08-21 14:00:00,32.101191503379745,30.217978325380578,33.936859530043556
2026-08-21 15:00:00,30.78625273303596,28.84447827112901,32.69160771099364
2026-08-21 16:00:00,29.269713537640047,27.328179444703828,31.287359963088704
2026-08-21 17:00:00,28.24550465468724,26.340211397795134,29.96401596817842
2026-08-21 18:00:00,27.981942448714307,26.218843941789192,29.756249923802287
2026-08-21 19:00:00,28.247210217909615,26.294299776103816,30.0695521965071
2026-08-21 20:00:00,28.56956714686505,26.625649412570823,30.509321637915072
2026-08-21 21:00:00,28.56453201434976,26.756402238177227,30.46292838552758
2026-08-21 22:00:00,28.08796304259203,26.15806273207233,30.072793101813165
2026-08-21 23:00:00,27.195586034666494,25.382418902636896,29.086025173229007
2026-08-22 00:00:00,26.057805448242867,24.257541577757145,28.00550829267755
2026-08-22 01:00:00,24.939445854015823,23.084943094713182,26.804804236558827
2026-08-22 02:00:00,24.193478749364644,22.393728093462816,26.121245908535506
2026-08-22 03:00:00,24.149154170412338,22.258410518189937,25.9821770150698
2026-08-22 04:00:00,24.895587852626782,23.069247019985703,26.772035640041434
2026-08-22 05:00:00,26.139864024679376,24.18698099045662,28.116392043006996
2026-08-22 06:00:00,27.332232430305837,25.54439576045943,29.301243147973626
2026-08-22 07:00:00,28.0360258446966,26.13784788191629,29.99866201552185
2026-08-22 08:00:00,28.263741428522685,26.349848589789634,30.07356489392119
2026-08-22 09:00:00,28.47009485019281,26.67965456068397,30.34568524401337
2026-08-22 10:00:00,29.160136252476953,27.11215080747658,30.950501415289427
2026-08-22 11:00:00,30.415849668484682,28.623129241684182,32.39253217741873
2026-08-22 12:00:00,31.747261356221543,29.782245045695344,33.686247118271346
2026-08-22 13:00:00,32.41831334013313,30.554940267745522,34.312352226681654
2026-08-22 14:00:00,31.996571503783187,30.16846964705649,33.967711214447704
2026-08-22 15:00:00,30.68356740833385,28.602884590387976,32.47748798323156
2026-08-22 16:00:00,29.16900125985209,27.088459787358772,30.986336000910722
2026-08-22 17:00:00,28.146786163201078,26.321026092975515,30.10748337427508
2026-08-22 18:00:00,27.885220295525937,25.974618905113992,29.69168907053068
2026-08-22 19:00:00,28.15246836322869,26.39986336496189,30.126791944618187
2026-08-22 20:00:00,28.476770712611614,26.527226988414647,30.379127086003603
2026-08-22 21:00:00,28.47362720239571,26.643895797472123,30.36408255335009
2026-08-22 22:00:00,27.998877222008772,26.103070950431448,29.898328147794796
2026-08-22 23:00:00,27.108228001611714,25.33638884829034,29.08127952587899
2026-08-23 00:00:00,25.97206585956069,24.203675216680438,28.00114009047074
2026-08-23 01:00:00,24.855197833534152,22.900295503510367,26.795272827433855
2026-08-23 02:00:00,24.110578664573506,22.287987378420887,26.092149965165405
2026-08-23 03:00:00,24.067442575794477,22.347240257284216,26.07608089149143
2026-08-23 04:00:00,24.814890592538582,22.854280849533538,26.720780155116415
2026-08-23 05:00:00,26.05999348790715,24.222494123052822,28.081742676360594
2026-08-23 06:00:00,27.25298894723994,25.410363304881542,29.19550202978156
2026-08-23 07:00:00,27.957199214978196,26.159560761795312,29.935742960373446
2026-08-23 08:00:00,28.18511256659639,26.226821622190855,29.894347535801373
2026-08-23 09:00:00,28.391437533998033,26.592343435663178,30.349971877331626
2026-08-23 10:00:00,29.081218960541094,27.192387196189802,31.012774182432583
2026-08-23 11:00:00,30.33643748759853,28.535192180818505,32.39801407086515
